nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
99,paper_99,"Using a Domain-Specific Language and Custom Tools to Model a Multi-tier Service-Oriented Application â€” Experiences and Challenges",2005,,,,,Admin,Output-based,"Visible template","Domain specific",,Unspecified,,"Domain specific",,"Structured data","C#, HTML",Yes,Standalone,"Case study","Large scale","Software engineering",Industry,Conference,MDE,MODELS,2005,
100,paper_100,"A model-driven approach to generate and deploy videogames on multiple platforms",2016,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",Unspecified,,"Structured data",XML,"Source code",Java,No,Standalone,"Case study","Large scale","Software engineering",Academic,Journal,Other,"J Ambient Intell Human Comput",2016,
101,paper_101,"An Aspect Oriented Component Based Model Driven Development.",2011,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code","Java, C++, PHP",Yes,Standalone,"Case study","Large scale",Aspect-oriented,Academic,Conference,SE,ICSECS,2011,
102,paper_102,"Control flow optimization in loops using interval analysis",2008,,,,,Admin,Predefined,"Visible template","Programming Language",,Unspecified,,"Source code",,"Source code","Program Loops",No,Standalone,"Case study","Small scale","Prog. Lang",Academic,Conference,Other,CASES,2008,
103,paper_103,"Qualifying input test data for model transformations",2009,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Structured data","Test code",Yes,Standalone,"Case study","Large scale","Software engineering",Industry,Journal,MDE,SOSYM,2009,
104,paper_104,"A code generation method for system-level synthesis on ASIC, FPGA and manycore CGRA",2013,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code","VHDL code",No,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,Other,ISCA,2013,
105,paper_105,"Code generation framework for grid development",2006,,,,,Admin,Output-based,"Visible template",Schema,,Velocity,,"Structured data",XML,"Source code",Java,No,Intermediate,"Case study","Large scale","Dist. Sys",Industry,Journal,Other,JCUPT,2006,
106,paper_106,"ModES: Embedded systems design methodology and tools based on MDE.",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Velocity,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"Case study","Large scale","Embedded systems",Industry,Other,MDE,MOMPES,2007,
107,paper_107,"Managing Embedded Systems Complexity with Aspect-oriented Model-driven Engineering",2011,,,,,Admin,Output-based,"Use of java Extension","General purpose","UML ",Xpand,"OpenArchitecture framework","General purpose","Class diagram","Source code",C,Yes,Standalone,"Case study","Small scale","Embedded systems",Academic,Journal,Other,TECS,2011,
108,paper_108,"A case study on API generation",2011,,,,,Admin,Output-based,,"General purpose",Ecore,Xpand,"plus Xtend","General purpose","Class diagram","Source code",C#,Yes,Standalone,"Case study","Large scale","Software engineering",Industry,Conference,MDE,SAM,2011,
109,paper_109,"An Aspect-Oriented Approach to Enforce Security Properties in Business Processes.",2013,,,,,Admin,Output-based,"Not shown","Domain specific",,Xpand,,"Domain specific",,"Source code",AspectJ,Yes,Last,"Case study","Small scale","Web technology",Industry,Conference,SE,ICSOC,2013,
110,paper_110,"A model-driven engineering framework for embedded systems design",2012,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","UML diagrams","Source code",C++,Yes,Standalone,"Case study","Large scale","Embedded systems",Academic,Conference,SE,ISSE,2012,
111,paper_111,"Model-Driven Theme/UML.",2009,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Xpand,,"General purpose","Sequence diagram","Source code",Java,Yes,Last,"Case study","Large scale","Software engineering",Academic,Journal,SE,TAOSD,2009,
112,paper_112,"DSML4CP: A Domain-specific Modeling Language for Concurrent Programming",2015,,,,,Admin,Output-based,"Visible template","Domain specific",,Xpand,,"Domain specific",,"Source code",Java,Yes,Last,"Case study","Large scale","Prog. Lang",Academic,Journal,Other,CLSS,2015,
113,paper_113,"A Generalized Model Transformation approach to Link Design Models to Network Simulators: NS-3 Case Study",2013,,,,,Admin,Output-based,"Visible template","Domain specific","IMS: IP Multimedia Subsystem",Xpand,,"Domain specific",IMS,"Source code","Java packages, Configuration script",Yes,Intermediate,"Case study","Large scale",Networking,Academic,Conference,Other,SIMULTECH,2013,
114,paper_114,"Model based documentation of automation applications",2009,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",XSLT,,"Structured data",XML,"Natural language","A documentation is generated",Yes,Standalone,"Case study","Large scale","Embedded systems",Academic,Conference,Other,INDIN,2009,
115,paper_115,"A Generative Approach to Framework Instantiation",2003,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",XSLT,,"Domain specific","Not specified","Source code",Any,Yes,Intermediate,"Case study","Large scale","Software engineering",Industry,Conference,SE,GPCE,2003,
116,paper_116,"Operational abstraction of model transforms",2014,,,,,Admin,Output-based,"Not shown","General purpose",Ecore,XSLT,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"Case study","Large scale","Software engineering",Industry,Conference,SE,ISEC,2014,
117,paper_117,"Application generator based on parameterized templates",2004,,,,,Admin,Output-based,,Schema,"XML Schema",XSLT,,"Structured data",XML,"Source code","The generator can generate different language",Yes,Standalone,"Case study","Small scale","Software engineering",Industry,Conference,Other,ITI,2004,
118,paper_118,"Research and Implementation of Design Pattern-Oriented Model Transformation",2007,,,,,Admin,Output-based,"Not shown ","General purpose","UML ",XSLT,,"General purpose","UML diagrams","Structured data",XMI-Light,Yes,Intermediate,"Case study","Small scale","Software engineering",Academic,Conference,Other,ICCGI,2007,
119,paper_119,"Expertus: A generator approach to automate performance testing in IaaS clouds",2012,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,XSLT,,"Structured data",XML,"Structured data",XML,No,Standalone,"Case study","Large scale","Software engineering",Academic,Conference,Other,CLOUD,2012,
120,paper_120,"Model-driven development of mobile applications for Android and iOS supporting role-based app variability",2016,,,,,Admin,Output-based,"Not shown","General purpose",,Xtend,Xtend,"General purpose","Ecore diagram","Source code",,Yes,Standalone,"Case study","Large scale","Mobile systems",Academic,Journal,MDE,SOSYM,2016,
121,paper_121,"A component-based approach for embedded software development",2002,,,,,Admin,Output-based,"Visible template",Schema,,Unspecified,,"Structured data",XML,"Structured data","Component composition",No,Intermediate,"User study","Large scale","Embedded systems",Academic,Conference,Other,ISORC,2002,
122,paper_122,"Using Meta-code Generation to Realize Higher-order Model Transformations",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose",,"Source code","ATL code",Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,SE,ICSOFT,2013,
123,paper_123,"Model transformations in the UPES/UPSoC development process for embedded systems",2009,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",C++,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Journal,MDE,SOSYM,2009,
124,paper_124,"Combined Simulation and Testing Based on Standard UML Models",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Source code",C++,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Journal,Other,PPRME,2016,
125,paper_125,"Managing the evolution of data-intensive Web applications by model-driven techniques",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Structured data",HTML,Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Journal,MDE,SOSYM,2013,
126,paper_126,"Dealing with the coupled evolution of metamodels and model-to-text transformations",2014,,,,,Admin,Output-based,"Visible template","General purpose",Ecore,Acceleo,,"General purpose","Class diagram","Structured data",HTML,Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Other,Other,,2014,
127,paper_127,"A Baseline Domain specific Language Proposal for Model-Driven Web Engineering Code Generation",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Structured data",HTML,Yes,Standalone,"No validation","Small scale","Web technology",Academic,Conference,Other,ICCSA,2016,
128,paper_128,"Exploiting UML and acceleo for developing Semantic Web Services",2012,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Conference,Other,ITST,2012,
129,paper_129,"Contribution of Model-Driven Engineering to Crop Modeling",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Source code",Java,Yes,Last,"No validation","No application","Software engineering",Industry,Conference,Other,ICCSA,2013,
130,paper_130,"Adaptive Model-Driven Information Systems Development for Object Databases",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Academic,Journal,Other,ISD,2013,
131,paper_131,"Model-Driven Composition of Information Systems from Shared Components and Connectors",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","UML diagrams","Source code",Java,Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Conference,Other,MMIS,2013,
132,paper_132,"Context-Aware Self-adaptations: From Requirements Specification to Code Generation",2013,,,,,Admin,Output-based,"Not shown","General purpose",Ecore,Acceleo,,"General purpose",XMI,"Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Academic,Conference,Other,UCAML,2013,
133,paper_133,"ChainTracker, a Model-Transformation Trace Analysis Tool for Code-Generation Environments",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,ICMT,2014,
134,paper_134,"A Model-Driven Approach to Generate External DSLs from Object-Oriented APIs",2015,,,,,Admin,Output-based,"Not shown","Domain specific",DSLit,Acceleo,,"Domain specific","DSLit model","Source code",Java,Yes,Intermediate,"No validation","No application","Software engineering",Academic,Journal,SE,SOFSEM,2015,
135,paper_135,"Model Driven Architecture as an Approach for Modeling and Generating Graphical User Interface",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,MedICT,2016,
136,paper_136,"A model-driven development approach for context-aware systems",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2016,
137,paper_137,"Design of code template for automatic code generation of heterogeneous smartphone application",2011,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Source code","Java, c#",Yes,Standalone,"No validation","Large scale","Mobile systems",Academic,Conference,Other,CAN,2011,
138,paper_138,"Towards Rule-Based Detection of Design Patterns in Model Transformations",2016,,,,,Admin,Output-based,"Visible template","General purpose",Ecore,Acceleo,,"General purpose","UML diagrams","Structured data","Jess rules",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,SAM,2016,
139,paper_139,"A meta-model for tests of avionics embedded systems",2013,,,,,Admin,Output-based,"Not shown ","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Source code",Python,Yes,Last,"No validation","Large scale","Embedded systems",Industry,Conference,MDE,MODELSWARD,2013,
140,paper_140,"Automated Generation of Performance Test Cases from Functional Tests for Web Applications",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Class diagram","Structured data","Test cases",Yes,Standalone,"No validation","Small scale",Testing,Industry,Conference,SE,ENASE,2013,
141,paper_141,"Translating UML state machines to coloured Petri nets using Acceleo: A report",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","State diagram","Natural language",Texte,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ESSS,2014,
142,paper_142,"Synthesizing VHDL from activity models in UML 2",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Acceleo,,"General purpose","Activity diagram","Source code","VHDL code",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Journal,Other,IJCTA,2014,
143,paper_143,"Building a Dynamically Reconfigurable System Through a High-Level Development Flow",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML/MARTE,Acceleo,,"General purpose","UML diagrams","Structured data",XML,Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,Other,FDL,2016,
144,paper_144,"MDA Approach to Automate Code Generation for Mobile Applications",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Structured data",XML,Yes,Standalone,"No validation","Small scale","Mobile systems",Academic,Conference,Other,ICMWT,2016,
145,paper_145,"From requirements to source code: a Model-Driven Engineering approach for RESTful web services",2016,,,,,Admin,Output-based,"Visible template","General purpose",Ecore,Acceleo,,"General purpose","UML diagrams","Structured data",XML,Yes,Last,"No validation","Large scale","Web technology",Academic,Journal,SE,ASE,2016,
146,paper_146,"Automatic Generation of S-LAM Descriptions from UML/MARTE for the DSE of Massively Parallel Embedded Systems",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML/MARTE,Acceleo,,"General purpose","UML diagrams","Structured data",XML,Yes,Intermediate,"No validation","Small scale","Embedded systems",Academic,Conference,SE,SNPD,2016,
147,paper_147,"A domain specific language for spatial simulation scenarios",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Source code",,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,GeoInformatica,2016,
148,paper_148,"Verification of Concurrent Programs on Weak Memory Models",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Acceleo,,"General purpose","UML diagrams","Structured data",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICTAC,2016,
149,paper_149,"Improving the Interoperability in the Digital Home Through the Automatic Generation of Software Adapters from a SysML Model",2016,,,,,Admin,Output-based,"Visible template","General purpose",SysML,Acceleo,,"General purpose","SysML model","Source code",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Journal,Other,"Intell Robot Syst",2016,
150,paper_150,"IMOCA: A Model-Based Code Generator for the Development of Multi-platform Marine Embedded Systems",2016,,,,,Admin,Output-based,"Visible template","General purpose",,Acceleo,,"General purpose","Ecore diagram","Source code",,Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,Other,MOQESM,2016,
151,paper_151,"A Model-based approach for the synthesis of software to firmware adapters for use with automatically generated components",2016,,,,,Admin,Output-based,"Not shown","General purpose",SysML,Acceleo,,"General purpose","SysML model","Source code",,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2016,
152,paper_152,"From types to type requirements: Genericity for model-driven engineering.",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","Class diagram","Source code",Any,Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2013,
153,paper_153,"Genericity for model management operations",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","Class diagram","Source code",Any,Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2013,
154,paper_154,"Towards modular code generators using symmetric language-aware aspects",2011,,,,,Admin,Output-based,"Not shown ","General purpose","Not specified",EGL,,"General purpose","Not specified","Source code",Java,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Conference,Other,FREECO,2011,
155,paper_155,"Higher-order rewriting of model-to-text templates for integrating domain-specific modeling languages",2013,,,,,Admin,Output-based,"Visible template","Domain specific",,EGL,,"Domain specific",,"Source code",Java,Yes,Intermediate,"No validation","Small scale","Software engineering",Industry,Conference,MDE,MODELSWARD,2013,
156,paper_156,"Model-driven engineering with domain-specific meta-modelling languages.",2015,,,,,Admin,Output-based,"Visible template","Domain specific",,EGL,,"Domain specific",,"Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2015,
157,paper_157,"Model Management in the Wild",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",EGL,,"General purpose","UML diagrams","Natural language","Text and descriptions",Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,GTTSE,2013,
158,paper_158,"Using templates for presenting publication references in CRIS",2012,,,,,Admin,Output-based,"Visible template","General purpose","UML ",FreeMarker,FreeMarker,"General purpose","Class diagram","Structured data",HTML,Yes,Standalone,"No validation","Large scale",Other,Academic,Conference,Other,CRIS,2012,
159,paper_159,"Applying software factories to pervasive systems: A platform specific framework",2006,,,,,Admin,Output-based,"Visible template","Domain specific",Perv-ML,FreeMarker,FreeMarker,"Domain specific","Perv-ML Model","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICEIS,2006,
160,paper_160,"Personalised code generation from large schema sets for geospatial mobile applications",2014,,,,,Admin,Predefined,"Not shown",Schema,XML-Schema,FreeMarker,FreeMarker,"Structured data",XML,"Source code",Java,No,Intermediate,"No validation","No application","Mobile systems",Industry,Journal,Other,COMPUTING,2014,
161,paper_161,"TUnit-Unit testing for template-based code generators",2016,,,,,Admin,Output-based,"Visible template",Schema,,FreeMarker,FreeMarker,"Structured data",,"Source code",Java,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,MODELLIERUNG,2016,
162,paper_162,"An extended symbol table infrastructure to manage the composition of output-specific generator information",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,FreeMarker,FreeMarker,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,MODELLIERUNG,2016,
163,paper_163,"The MOLGENIS toolkit: rapid prototyping of biosoftware at the push of a button",2010,,,,,Admin,Output-based,"Visible template","General purpose","UML ",FreeMarker,FreeMarker,"General purpose","Class diagram","Structured data","Java, SQL, HTML",Yes,Standalone,"No validation","Large scale",Bio-med,Academic,Conference,Other,BOSC,2010,
164,paper_164,"Model-driven development of reconfigurable mechatronic systems with MECHATRONIC UML. ",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","State diagram","Source code",Any,Yes,Intermediate,"No validation","Small scale","Embedded systems",Academic,Conference,MDE,ECMFA,2005,
165,paper_165,"Modeling and enforcing invariants of dynamic software architectures",2012,,,,,Admin,Predefined,"Visible template","General purpose","UML ",Fujaba,,"General purpose","UML diagrams","Source code",AspectJ,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2012,
166,paper_166,"Leveraging UML Profiles to Generate Plugins From Visual Model Transformations",2005,,,,,Admin,Predefined,"Not shown ","General purpose","UML ",Fujaba,,"General purpose","Class diagram","Source code",J,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,ENTCS,2005,
167,paper_167,"Shimba - An environment for reverse engineering Java software systems",2001,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","Sequence diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,SE,SPE,2001,
168,paper_168,"Using Graph Transformation for Practical Model-Driven Software Engineering",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Other,Other,,2005,
169,paper_169," Applying story driven modeling to the Paderborn shuttle system case study.",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","Interaction diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Other,Other,SCENARIOS,2005,
170,paper_170,"MOFLON: A Standard-Compliant Metamodeling Framework with Graph Transformations",2006,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,ECMFA,2006,
171,paper_171,"Developing Tools with Fujaba XProM",2006,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","State diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,GTTSE,2006,
172,paper_172,"Using Actions Charts for Reactive Web Application Modeling",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICWE,2010,
173,paper_173,"Discovery of model implementation patterns in source code",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,ITC,2010,
174,paper_174,"16 Development of Tool Extensions with MOFLON",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Other,MDE,MBEERTS,2010,
175,paper_175,"Model-driven architecture for hard real-time systems: from platform independent models to code.",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Fujaba,,"General purpose","State diagram","Source code","Java, C++",Yes,Intermediate,"No validation","Small scale","Embedded systems",Academic,Conference,MDE,ECMFA,2005,
176,paper_176,"Reusable Architectural Decision Models for Enterprise Application Development",2007,,,,,Admin,Output-based,"Not shown","General purpose",Ecore,JET,,"General purpose","High level models","Source code",Any,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,QOSA,2007,
177,paper_177,"Model-Based Generation of Interlocking Controller Software from Control Tables",2008,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,MDE,ECMFA,2008,
178,paper_178,"Model-Based Software Engineering and Process-Aware Information Systems",2009,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Any,Yes,Last,"No validation","Large scale","Software engineering",Academic,Conference,Other,TOPNOC,2009,
179,paper_179,"Model-Driven Architecture for Agent-Based Systems",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","UML diagrams","Source code","Cougaar, Java",Yes,Last,"No validation","No application",Networking,Industry,Other,Other,FAABS,2005,
180,paper_180,"Model-driven generation: From models to MVC2 web applications",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",JET,,"General purpose","Sequence diagram","Structured data",HTML,Yes,Standalone,"No validation","Large scale","Web technology",Academic,Journal,Other,IJSEA,2014,
181,paper_181,"Towards a Model Level Debugger for the Cougaar Model Driven Architecture System",2006,,,,,Admin,Output-based,"Not shown",Schema,,JET,,"Structured data",,"Source code",Java,No,Standalone,"No validation","No application",Networking,Academic,Other,Other,WRAC,2006,
182,paper_182,"Mapping Features to Aspects: A Model-Based Generative Approach.",2007,,,,,Admin,Output-based,"Visible template","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Java,Yes,Last,"No validation","Large scale",Aspect-oriented,Academic,Other,SE,EA,2007,
183,paper_183,"An Eclipse-Based Framework for AIS Service Configurations",2007,,,,,Admin,Output-based,"Visible template","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,ISAS,2007,
184,paper_184,"Introduce: An Open source Toolkit for Rapid Development of Strongly Typed Grid Services",2007,,,,,Admin,Output-based,"Not shown",Schema,"XML Schema",JET,,"Structured data",XML,"Source code",Java,Yes,Standalone,"No validation","Large scale","Dist. Sys",Academic,Journal,Other,JGC,2007,
185,paper_185,"Design Space of Heterogeneous Synchronization.",2008,,,,,Admin,Output-based,"Visible template","Domain specific","Framework-specific modeling language",JET,,"Domain specific","FSML model","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,GTTSE,2008,
186,paper_186,"Model Transformations from a Data Parallel Formalism Towards Synchronous Languages.",2008,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Other,Other,,2008,
187,paper_187,"Maintaining invariant traceability through bidirectional transformations",2012,,,,,Admin,Output-based,"Not shown ","General purpose",Ecore,JET,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Large scale","Software engineering",Academic,Conference,SE,ICSE,2012,
188,paper_188,"Building Domain-Specific Modeling Languages for Frameworks",2013,,,,,Admin,Output-based,"Visible template","Domain specific",,JET,,"Domain specific","Not specified","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICEIS,2013,
189,paper_189,"Model-Based Language Engineering with EMFText",2013,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",JET,,"Domain specific","Not specified","Source code","Java, C#",Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,GTTSE,2013,
190,paper_190,"Model Transformations for the Compilation of Multi-processor Systems-on-Chip.",2008,,,,,Admin,Output-based,"Not shown","General purpose","UML ",JET,,"General purpose","Class diagram","Source code",SystemC,Yes,Last,"No validation","Large scale","Embedded systems",Academic,Conference,SE,GTTSE,2008,
191,paper_191,"Automatic Ada Code Generation Using a Model-Driven Engineering Approach",2007,,,,,Admin,Output-based,"Visible template","General purpose","UML ",MOFScript,,"General purpose","State diagram","Source code",Ada,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICRST,2007,
192,paper_192,"Modeling Tools for Platform Specific Design of Multi-Agent Systems",2009,,,,,Admin,Output-based,"Not shown","General purpose","UML ",MOFScript,,"General purpose","UML diagrams","Structured data","Jadex descriptions",Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,Other,MATES,2009,
193,paper_193,"Toward Standardised Model to Text Transformations",2005,,,,,Admin,Output-based,"Visible template","General purpose","UML ",MOFScript,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,MDE,ECMFA,2005,
194,paper_194,"Testing M2T/T2M Transformations.",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",MOFScript,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,MDE,MODELS,2013,
195,paper_195,"Testing MOFScript Transformations with HandyMOF.",2014,,,,,Admin,Output-based,"Visible template","General purpose","UML ",MOFScript,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,ICMT,2014,
196,paper_196,"Model-Driven Test Code Generation",2011,,,,,Admin,Output-based,"Visible template","General purpose","UML ",MOFScript,,"General purpose","Sequence diagram","Source code","JUnit test code",Yes,Last,"No validation","Large scale",Testing,Academic,Conference,SE,ENASE,2011,
197,paper_197,"AnBx: Automatic Generation and Verification of Security Protocols Implementations",2016,,,,,Admin,Output-based,"Not shown","Programming Language",,Other,AnBx,"Source code",ExecNarr,"Source code",Java,No,Standalone,"No validation","Small scale",Other,Academic,Conference,Other,FPS,2016,
198,paper_198,"Model-driven analysis and synthesis of textual concrete syntax",2008,,,,,Admin,Predefined,"Visible template","General purpose",Kermeta,Other,"AndroMDA - CASE tool","General purpose",,"Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Journal,MDE,SOSYM,2008,
199,paper_199,"Closing the Gap between Modelling and Java",2010,,,,,Admin,Predefined,"Not shown","Domain specific","Not specified",Other,"AndroMDA - CASE tool","Domain specific","Not specified","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,SLE,2010,
